thread_id	domain	type	source	request
226786098	movie	jdoc-annotated	imdb	P is for Pain. Looking for a romance film from the 90's, maybe made for TV ... British period piece, feel of, say, Mansfield Park or Gosford Park ... there is a piano theme running through it, starting with the past-debutante-age pianist playing the ditty ""A is for the Apples that etc etc"" and then some scenes, and then ""B is for the etc etc"" with a failed romance going on and the film finally ending on ""P is for the Pain"" ... anybody?? John
226398201	movie	jdoc-annotated	imdb	1980's movie about an 'september/december' romance??--SOLVED!. I have a clear memory of a movie I watched when I was a teen (I was born in 1971 BTW), so it probably came out in the mid/late 80s. It was about a woman who falls in love with an older man. She wasn't a YOUNG woman, maybe she was a divorcee? Maybe she had teenage or even adult kids?? (not too sure about that part) What I do remember is that there is enough of a difference in their ages (and the man is the older one) that it is a significant issue to her friends or family, like maybe she's in her early 40s and he's in his late 60's? (In my memory he was even older than that, but I'm thinking I watched this when I was 15 or 16, which means any man who was over 50 probably seemed ANCIENT to me.) I remember a love scene between them, maybe toward the end of the movie, that at the time kind of shocked me because he was so much older. Anyway, I don't remember many details of the plot, except that maybe much of the movie took place in a high rise apartment? I always thought I remembered the main characters being played by Jane Fonda and James Garner...and because I thought it was James Garner, I always thought it was Murphy's Romance. however, I just watched 5 minutes of that, and I KNOW it isn't Murphy's Romance, because that appears to take place on a horse ranch, and I clearly recall that this movie took place in a city. I looked through the films starring Jane Fonda and James Garner, and nothing looks right. I feel like I'd know the movie instantly if I saw the title. Can you help me remember? One final odd flash of memory that might or might not be relevant: I feel like either the title of the film or the name of one of the main characters had something to do with a little song or nursery rhyme that appears in the movie at some point. Am I totally off on that, or does that trigger someone else's memory?? Thanks in advance for any input. :)
227932805	movie	jdoc-annotated	imdb	Late 60s TV show or movie--Horror SOLVED!. I saw this on TV when I was little (under 9). It was probably something like Night Gallery, but I haven't been able to find the episode, if it was. The scene begins with a young woman waking up or something. She immediately looks frightened, and there's suspenseful music. She walks slowly through the apartment (or house, I guess, but I thought it was in a high rise). She's wearing a nightgown, white, I think. She comes to an open door where there's a mural painted on the wall. It has a dark background, and a man's figure is painted, all white, no details of clothing, no face. As she nears the painting, obviously terrified, and the music building, the figure slowly comes out of the painting and its face materializes. He is still white from head to toe, but his eyes appear (heavy eye liner) and then his mouth appears, very, very red lips. She runs out, screaming. After that, he opens his eyes and laughs. My dad was watching this, and I was so scared I ran to the TV and changed the channel. He made me switch it back. (""Don't be such a baby, it's not real"") I believe that someone (or an organization) was trying to drive the woman insane, and by the end, I don't think they were successful. In 40 years, I have never forgotten the image of the guy coming out of the painting, and I would love to see it again. I'm sure it's not that scary, but I was only around six or seven.
227361963	movie	jdoc-annotated	imdb	Woman creates a fake husband who died in 9/11 attacks SOLVED. A documentary, probably around 3-4 years old, about a woman who made up a husband and said he died in the Twin Towers collapse. She started joining various support groups and ended up leading pretty much everything she was involved in, even getting one guy thrown out of the leader role in the group he started. The documentary features people that met and knew the woman explaining how she became so involved, what she was like etc. From what I can remember, she became very demanding of s group of her closest 'friends' from the support groups, and would cut out anyone who questioned her or her story. I think they might have even gone back to her high school classmates and found that she was doing similar stuff then. Anyone know the title? Thanks in advance guys! Born from an egg on a mountain top
225926121	movie	jdoc-annotated	imdb	This Is A Tough One. A 90s horror film with ""paint"" in the title that uses a child's drawings as a motif for imagined realism... Kind of Pan's Labyrinth style? A friend needs to know. Any help is much appreciated.
225752961	movie	jdoc-annotated	imdb	horror movie about a killer house (solved). This movie is from the 80s or 90s A young woman moves into a house, but an old lady cryptically warns her that its a bad idea (iirc her exact words were ""You should not come""). Subsequently, the house turns out to be cursed/haunted because it starts killing its tenants and visitors in various ways. Eventually, the old woman reveals the secret about the house (dont remember what it was), but then she falls into the swimming pool and gets boiled to death. In the end, the woman screams at a wall, it breaks and i think she escapes as the house burns down.
229389656	movie	jdoc-annotated	imdb	please help me! from which movie/series is this photo from?. thank you so much! :) http://24.media.tumblr.com/d93e461ba9a25709afc71985aa2a57a7/tumblr_mhdcueD30y1qhdif9o1_500.gif
227010364	movie	jdoc-annotated	imdb	French movie about drama theatre SOLVED. I have recently remembered of a movie i saw in the 90's mid to late 90's in colour and in the french language with english subtitles. I remember it was about a woman who in a town or city, joins a theatre group, she originally may have been a prostitute or something like that a poor girl. The movie was a time piece set in a time were i think their were carriages instead of cars. I remember that eventually this woman falls in love with one of the guys that organise the theatre play shows. She eventually becomes a very big hit and all the rich people want to see her act and watch the show. Eventually after a few time jumps she has kids with the man from the theatre. She then gets sick, and she can barely act anymore she thinks that the theatre show won't be able to go on, but the girl that does her make up says she has learnt all the womans lines throughout the years and is sure she could pull it off. The woman feels betrayed by the theatre people and i remember her saying a line near the end of the movie once she was replaced by the girl who did her make up or wardrobe. The woman says something along the lines "" To act is to die every night on stage"" something philosophical like that. anyone recognise this movie? thanks for your help ahead of time.
228649678	movie	jdoc-annotated	imdb	what's the name of this crime film set in the desert... SOLVED. a man is left to die in the desert by another albeit against the protests of a woman... the man is rescued by a woman on a motorcycle... and at the end shoots the guy who left him stranded... in the end the lines are like ''you better kill me, cause if you don't i'm gonna come after you''... the camera then pans out to show the road and the credits roll the villain goes to his mob-boss's club in a scene where he is reprimanded..
229611378	movie	jdoc-annotated	imdb	A pre-teen boy is turned into a dog.[Solved]. The only scene I remember is almost at the end: The boy (as a dog) overhears his friend (a girl) talking to an old man (I think he had something to do with the transformation). He says ""You love him, don't you?"" and she says ""Yes. I have for years"".
223390427	movie	jdoc-annotated	imdb	Don't know the name but have the plot.. A Navy man was arrested and escorted by two Navy men to Jail on a train. They find out he is a virgin and stop to get him laid before he goes to jail.
226396590	movie	jdoc-annotated	imdb	Sci-fi film with a crew waking up in space, clueless about their purpose. This was a film from a few years back, not too old. Only I forgot its name.
226798714	movie	jdoc-annotated	imdb	Can you name this film?. Years ago I saw a film (35 years ago, minimum). It was black and white, and it is about a group of people being stranded on a uninhabited Island. Some of them are ""aristocrats"" and some are ""servants"", and it turns out that the true leader among them is one of the ""servants"" to the shock of the ""aristocrats"". Can anyone tell me what this film is?
229896570	movie	jdoc-annotated	imdb	Not much to go on.... All I remember from this 90s film is the guy steals one million dollars in cash and then ends up in a motel with his girlfriend. They lay all the cash out on the bed... all i remember...
228520946	movie	jdoc-annotated	imdb	Can’t recall the name of an old black n white movie.. :(. The only thing I remember about this movie is that there was a rich family who were finding their daughter who was lost as a kid.. a poor girl made a plan to pretend as that lost girl.. when she reached their home then they took her to a room full of toys and asked her to pick the toy she used to play with as a kid.. she got nervous initially but then picked the right toy.. the reason she picked the right one is because all other toys were warm because of too many lights of the room.. but this particular toy was not warm as it was brought to the room just at that time for testing her.. Can someone please tell me the name of this movie.. ??? No Iron can stab the heart with such force as a full stop put just at the right place.
